id,path,urban_scenario,cc_scenario
1,,e04_s6_flores_v2_noairport_no11_excl_0,8.5 far future 
2,,e04_s6_flores_v2_noairport_no11_excl_0,8.5 near future
3,,e04_s6_flores_v2_noairport_no11_excl_0,4.5 far future
4,,e04_s6_flores_v2_noairport_no11_excl_0,4.5 near future
5,,e04_s6_flores_v2_noairport_no11_excl_total,8.5 far future 
6,,e04_s6_flores_v2_noairport_no11_excl_total,8.5 near future
7,,e04_s6_flores_v2_noairport_no11_excl_total,4.5 far future
8,,e04_s6_flores_v2_noairport_no11_excl_total,4.5 near future
9,,e04_s6_flores_v2_noairport_no11,8.5 far future 
10,,e04_s6_flores_v2_noairport_no11,8.5 near future
11,,e04_s6_flores_v2_noairport_no11,4.5 far future
12,,e04_s6_flores_v2_noairport_no11,4.5 near future
