,,Alternatives,,,Biofísico,,,,,Infraestructura,,,,,,Riesgos_poblacion,,,Socio-institucional
,,Mantenimiento,Nueva_infraestructura,Basura,Escurrimiento,Hundimientos,Precipitacion,Antiguedad,Capacidad,Falla,Falta,Gasto_hidraulico,Encharcamientos,Inundaciones,Peticion de Delegaciones,Peticiones de usuarios,Presion de medios,,
Alternatives,Mantenimiento,0.085885,0.085885,0.085885,0.085885,0.085885,0.085885,0.085885,0.085885,0.085885,0.085885,0.085885,0.085885,0.085885,0.085885,0.085885,0.085885,,
,Nueva_infraestructura,0.13901,0.13901,0.13901,0.13901,0.13901,0.13901,0.13901,0.13901,0.13901,0.13901,0.13901,0.13901,0.13901,0.13901,0.13901,0.13901,,
Biofísico,Basura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Escurrimiento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Hundimientos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Precipitacion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Infraestructura,Antiguedad,0.011548,0.011548,0.011548,0.011548,0.011548,0.011548,0.011548,0.011548,0.011548,0.011548,0.011548,0.011548,0.011548,0.011548,0.011548,0.011548,,
,Capacidad,0.037742,0.037742,0.037742,0.037742,0.037742,0.037742,0.037742,0.037742,0.037742,0.037742,0.037742,0.037742,0.037742,0.037742,0.037742,0.037742,,
,Falla,0.059592,0.059592,0.059592,0.059592,0.059592,0.059592,0.059592,0.059592,0.059592,0.059592,0.059592,0.059592,0.059592,0.059592,0.059592,0.059592,,
,Falta,0.088871,0.088871,0.088871,0.088871,0.088871,0.088871,0.088871,0.088871,0.088871,0.088871,0.088871,0.088871,0.088871,0.088871,0.088871,0.088871,,
,Gasto_hidraulico,0.127561,0.127561,0.127561,0.127561,0.127561,0.127561,0.127561,0.127561,0.127561,0.127561,0.127561,0.127561,0.127561,0.127561,0.127561,0.127561,,
Riesgos_poblacion,Encharcamientos,0.133787,0.133787,0.133787,0.133787,0.133787,0.133787,0.133787,0.133787,0.133787,0.133787,0.133787,0.133787,0.133787,0.133787,0.133787,0.133787,,
,Inundaciones,0.091109,0.091109,0.091109,0.091109,0.091109,0.091109,0.091109,0.091109,0.091109,0.091109,0.091109,0.091109,0.091109,0.091109,0.091109,0.091109,,
Socio-institucional,Peticion de Delegaciones,0.027056,0.027056,0.027056,0.027056,0.027056,0.027056,0.027056,0.027056,0.027056,0.027056,0.027056,0.027056,0.027056,0.027056,0.027056,0.027056,,
,Peticiones de usuarios,0.131953,0.131953,0.131953,0.131953,0.131953,0.131953,0.131953,0.131953,0.131953,0.131953,0.131953,0.131953,0.131953,0.131953,0.131953,0.131953,,
,Presion de medios,0.065887,0.065887,0.065887,0.065887,0.065887,0.065887,0.065887,0.065887,0.065887,0.065887,0.065887,0.065887,0.065887,0.065887,0.065887,0.065887,,
