escenario,prec,prec_v,runoff
excl_0_ff45.csv,47535621.125787646 , 15416577262.211592 , 192719.49576311136
excl_0_ff85.csv,44686156.21509988 , 14487434068.746956 , 182712.65073242498
excl_0_nf45.csv,46390871.525884196 , 15043301460.507828 , 176699.52698904
excl_0_nf85.csv,45685988.58411739 , 14813455784.893345 , 185423.72486367493
excl_total_ff45_c.csv,47535621.125787646 , 15416577262.211592 , 135403.18509557602
excl_total_ff85_c.csv,44686156.21509988 , 14487434068.746956 , 127689.72702983499
excl_total_nf45_c .csv,46390871.525884196 , 15043301460.507828 , 122874.75204647
excl_total_nf85_c.csv,45685988.58411739 , 14813455784.893345 , 129765.05134351301
noairport_no11_ff45.csv,47535621.125787646 , 15416577262.211592 , 178450.9970419244
noairport_no11_ff85.csv,44686156.21509988 , 14487434068.746956 , 168964.119369871
noairport_no11_nf45_c.csv,46390871.525884196 , 15043301460.507828 , 163202.39958613002
noairport_no11_nf85.csv,45685988.58411739 , 14813455784.893345 , 171532.1707452725
